Number_of_announcements,Number_of_announced_NLRI_prefixes,Maximum_AS_path_length,Average_edit_distance,Maximum_edit_distance,Number_of_Interior_Gateway_Protocol_IGP_packets,Number_of_incomplete_packets,Labels
44,148,11,11,0.8,42,2,Normal
62,152,13,13,1.1,62,0,Normal
49,137,12,12,0.9,49,0,Normal
41,99,11,11,0.7,40,1,Normal
46,90,12,12,0.8,43,3,Normal
19,40,8,9,0.3,19,0,Normal
34,69,17,17,0.6,32,2,Normal
26,52,12,12,0.5,25,1,Normal
26,36,12,12,0.4,26,0,Normal
26,63,11,11,0.5,25,1,Normal
39,140,16,16,0.7,36,3,Normal
42,105,16,16,0.7,42,0,Normal
24,41,16,16,0.4,23,1,Normal
42,122,13,13,0.7,37,5,Normal
26,65,12,12,0.4,23,3,Normal
31,96,16,16,0.6,29,2,Normal
58,124,17,17,1,52,6,Normal
76,186,12,12,1.3,69,7,Normal
19,36,12,12,0.4,19,0,Normal
29,100,13,13,0.5,25,4,Normal
50,93,15,15,0.9,42,8,Normal
39,90,12,12,0.7,34,5,Normal
42,80,12,12,0.7,37,5,Normal
54,107,17,17,100,44,10,Normal
34,63,12,12,0.6,27,7,Normal
42,77,12,12,0.7,36,6,Normal
32,123,14,14,0.6,30,2,Normal
18,24,17,17,0.3,18,0,Normal
56,93,15,15,1,45,11,Normal
34,45,12,12,0.6,32,2,Normal
66,183,13,13,1.1,55,11,Normal
50,97,15,15,0.9,44,6,Normal
52,96,14,14,100,50,2,Normal
23,37,12,12,0.4,22,1,Normal
49,92,18,18,0.9,44,5,Normal
46,103,8,8,0.8,42,4,Normal
35,46,9,9,0.6,24,11,Normal
87,344,10,10,1.5,80,7,Normal
40,58,12,12,0.7,40,0,Normal
40,108,12,12,0.7,38,2,Normal
46,115,11,11,0.8,44,2,Normal
48,100,19,19,0.9,46,2,Normal
33,103,18,18,0.6,33,0,Normal
26,51,12,12,0.5,25,1,Normal
24,38,16,16,0.4,19,5,Normal
29,52,19,19,0.5,26,3,Normal
49,64,19,19,0.9,43,6,Normal
27,50,12,12,0.5,27,0,Normal
44,65,12,12,0.8,44,0,Normal
33,91,19,19,0.6,31,2,Normal
52,153,19,19,0.9,44,8,Normal
57,172,13,13,1,51,6,Normal
47,97,12,12,0.8,36,11,Normal
49,81,13,13,0.9,42,7,Normal
31,72,9,9,0.5,28,3,Normal
35,99,16,16,0.6,34,1,Normal
41,200,13,13,0.7,40,1,Normal
43,98,11,11,0.8,43,0,Normal
40,146,16,16,0.7,38,2,Normal
30,70,16,16,0.5,27,3,Normal
33,99,19,19,0.6,27,6,Normal
29,73,11,11,0.5,28,1,Normal
57,121,12,12,1,55,2,Normal
28,53,9,9,0.5,27,1,Normal
34,56,17,17,0.6,33,1,Normal
13,18,8,8,0.2,12,1,Normal
31,44,12,12,0.6,27,4,Normal
38,95,8,8,0.7,30,8,Normal
67,191,15,15,1.2,61,6,Normal
61,100,15,15,1.1,59,2,Normal
40,79,10,10,0.7,40,0,Normal
51,152,17,17,0.9,46,5,Normal
36,88,18,18,0.6,32,4,Normal
24,25,9,9,0.4,22,2,Normal
35,67,11,11,0.6,29,6,Normal
34,47,16,16,0.6,23,11,Normal
80,135,19,19,1.4,74,6,Normal
110,153,12,12,1.9,104,6,Normal
67,111,16,16,1.2,61,6,Normal
86,131,14,14,1.5,78,8,Normal
41,93,12,12,0.7,39,2,Normal
35,61,16,16,0.7,34,1,Normal
26,38,12,12,0.5,26,0,Normal
31,58,9,9,0.6,31,0,Normal
24,38,9,9,0.4,23,1,Normal
31,54,10,10,0.5,28,3,Normal
32,41,11,11,0.6,31,1,Normal
29,36,12,12,0.5,28,1,Normal
38,45,9,9,0.6,33,5,Normal
34,73,8,8,0.6,32,2,Normal
46,185,17,17,0.8,43,3,Normal
52,154,19,19,0.9,45,7,Normal
33,76,8,8,0.6,33,0,Normal
14,30,12,12,0.3,14,0,Normal
15,21,8,11,0.3,15,0,Normal
59,101,9,9,1.1,58,1,Normal
38,44,12,12,0.7,35,3,Normal
46,117,18,18,0.8,42,4,Normal
61,188,11,11,1,58,3,Normal
34,59,11,11,0.6,34,0,Normal
43,80,16,16,0.7,38,5,Normal
29,51,9,9,0.6,27,2,Normal
21,43,11,11,0.4,18,3,Normal
49,98,19,19,0.8,47,2,Normal
27,54,18,18,0.5,26,1,Normal
33,65,10,10,0.5,33,0,Normal
23,27,13,13,0.4,20,3,Normal
38,61,10,10,0.7,31,7,Normal
46,180,11,11,0.8,45,1,Normal
27,108,16,16,0.5,26,1,Normal
33,138,8,8,0.6,33,0,Normal
35,116,12,12,0.6,34,1,Normal
37,69,12,12,0.6,34,3,Normal
40,53,13,13,0.7,38,2,Normal
32,53,12,12,0.5,31,1,Normal
22,48,9,9,0.4,20,2,Normal
16,31,7,7,0.3,13,3,Normal
50,132,15,15,0.9,46,4,Normal
43,73,16,16,0.7,43,0,Normal
89,185,15,15,1.5,89,0,Normal
73,197,12,12,1.3,66,7,Normal
53,145,8,16,0.9,48,5,Normal
42,110,12,12,0.8,37,5,Normal
52,121,9,9,0.9,44,8,Normal
52,198,18,18,0.9,45,7,Normal
39,78,14,14,0.7,37,2,Normal
50,92,13,13,0.9,41,7,Normal
35,86,9,9,0.6,32,2,Normal
39,130,12,12,0.7,29,10,Normal
32,79,11,11,0.6,28,4,Normal
47,99,9,9,0.8,47,0,Normal
28,69,16,16,0.5,27,1,Normal
31,88,12,12,0.5,28,3,Normal
55,127,10,10,1,55,0,Normal
39,78,15,15,0.7,37,2,Normal
15,22,20,20,0.3,15,0,Normal
76,323,8,8,1.3,71,5,Normal
109,391,12,12,1.8,104,5,Normal
35,52,14,14,0.6,34,1,Normal
46,84,12,12,0.8,45,1,Normal
62,162,20,20,1.1,57,5,Normal
39,94,11,11,0.7,36,3,Normal
19,27,12,12,0.3,18,1,Normal
23,54,13,13,0.4,21,2,Normal
35,133,12,12,0.6,34,1,Normal
42,63,12,12,0.7,36,6,Normal
91,337,11,11,1.6,84,7,Normal
40,59,12,12,0.7,40,0,Normal
39,67,11,11,0.7,37,2,Normal
49,96,13,13,0.8,48,1,Normal
67,200,19,19,1.2,64,3,Normal
34,94,14,14,0.6,31,3,Normal
30,58,12,12,0.5,29,1,Normal
25,32,7,7,0.4,25,0,Normal
37,56,7,7,0.6,37,0,Normal
38,56,12,12,0.6,32,6,Normal
34,64,12,12,0.5,30,4,Normal
35,51,13,13,0.6,35,0,Normal
29,47,13,13,0.5,28,1,Normal
36,61,12,12,0.6,27,9,Normal
22,49,10,10,0.4,21,1,Normal
15,28,9,9,0.3,15,0,Normal
9,15,7,7,0.2,9,0,Normal
32,61,8,8,0.5,29,3,Normal
37,70,8,8,0.7,31,6,Normal
44,70,13,13,0.8,37,7,Normal
30,42,12,12,0.5,28,2,Normal
32,57,8,8,0.5,32,0,Normal
44,63,12,12,0.7,39,5,Normal
56,150,11,11,1,50,6,Normal
34,101,11,11,0.6,32,2,Normal
37,91,20,20,0.6,33,4,Normal
48,129,15,15,0.8,46,2,Normal
58,109,12,12,1,52,6,Normal
38,60,8,8,0.7,34,4,Normal
34,80,12,12,0.6,33,1,Normal
26,26,9,9,0.5,26,0,Normal
27,38,9,9,0.5,27,0,Normal
35,69,12,12,0.6,35,0,Normal
26,106,12,12,0.5,26,0,Normal
31,112,7,7,0.5,31,0,Normal
48,123,12,12,0.8,48,0,Normal
63,162,12,12,1.1,63,0,Normal
28,81,12,12,0.5,25,3,Normal
30,68,9,9,0.5,27,3,Normal
33,143,16,16,0.6,30,3,Normal
146,453,12,12,2.5,144,2,Normal
126,406,11,11,2.1,122,4,Normal
37,121,14,14,0.7,33,4,Normal
44,93,12,12,0.7,35,9,Normal
42,113,15,15,0.7,33,9,Normal
33,85,14,14,0.6,31,2,Normal
37,115,13,13,0.7,34,3,Normal
44,77,13,13,0.8,37,7,Normal
24,52,7,7,0.4,22,2,Normal
28,39,12,12,0.5,27,1,Normal
54,145,12,12,100,48,6,Normal
49,132,9,9,0.9,44,5,Normal
40,107,15,15,0.7,37,3,Normal
34,56,15,15,0.6,32,2,Normal
24,29,15,15,0.5,23,1,Normal
30,92,12,12,0.6,24,6,Normal
19,64,13,13,0.3,19,0,Normal
51,139,12,12,0.9,47,4,Normal
51,141,12,12,0.9,51,0,Normal
29,89,13,13,0.5,25,4,Normal
26,50,20,20,0.5,25,1,Normal
28,50,7,19,0.5,26,2,Normal
20,40,7,7,0.4,18,2,Normal
17,33,8,8,0.3,15,2,Normal
35,97,16,16,0.6,24,11,Normal
87,267,15,15,1.5,70,17,Normal
64,196,12,12,1.1,57,7,Normal
33,44,11,11,0.6,33,0,Normal
36,64,8,8,0.6,36,0,Normal
40,81,14,14,0.7,38,2,Normal
37,76,13,13,0.6,32,5,Normal
56,114,12,12,1,46,10,Normal
55,96,8,8,0.9,54,1,Normal
31,88,11,11,0.5,27,4,Normal
30,70,8,8,0.5,30,0,Normal
38,88,12,12,0.7,38,0,Normal
33,100,13,13,0.6,32,1,Normal
25,35,9,9,0.5,25,0,Normal
55,121,10,10,0.9,55,0,Normal
52,109,11,11,0.9,52,0,Normal
25,59,12,12,0.4,24,1,Normal
19,38,10,10,0.3,16,3,Normal
13,16,8,8,0.2,13,0,Normal
22,60,8,8,0.4,21,1,Normal
39,104,9,9,0.7,34,5,Normal
35,150,8,8,0.6,34,1,Normal
52,212,12,12,100,44,8,Normal
47,216,11,11,0.8,39,8,Normal
27,78,13,13,0.5,26,1,Normal
18,20,9,9,0.3,18,0,Normal
24,51,8,8,0.4,20,4,Normal
16,17,10,10,0.3,16,0,Normal
32,48,11,11,0.6,32,0,Normal
32,51,19,19,0.6,32,0,Normal
30,44,13,13,0.5,25,5,Normal
19,38,13,13,0.3,17,2,Normal
80,244,15,15,1.4,80,0,Normal
48,121,12,12,0.8,41,7,Normal
21,48,9,9,0.4,18,3,Normal
29,35,10,10,0.5,27,2,Normal
26,38,12,12,0.4,23,3,Normal
52,71,12,12,0.9,50,2,Normal
35,102,13,13,0.6,33,2,Normal
319,974,12,12,5.4,317,2,Normal
41,71,12,12,0.7,40,1,Normal
51,147,12,12,0.9,50,1,Normal
55,263,12,12,100,52,3,Normal
29,87,12,12,0.5,27,2,Normal
17,32,9,10,0.3,17,0,Normal
20,57,10,10,0.3,17,3,Normal
30,77,12,12,0.5,27,3,Normal
66,141,12,12,1.2,57,9,Normal
45,72,7,7,0.8,44,1,Normal
33,56,14,14,0.6,33,0,Normal
23,45,16,16,0.4,23,0,Normal
54,146,8,8,0.9,52,2,Normal
32,65,16,16,0.6,28,4,Normal
45,105,13,13,0.8,39,6,Normal
65,117,11,11,1.1,57,8,Normal
40,78,10,10,0.7,36,4,Normal
44,84,16,16,0.8,37,7,Normal
48,89,16,16,0.8,42,5,Normal
34,197,13,13,0.6,33,0,Normal
32,181,9,9,0.5,26,6,Normal
51,257,10,10,0.9,44,7,Normal
40,110,9,9,0.7,32,8,Normal
41,97,11,11,0.7,30,11,Normal
67,136,12,12,1.2,41,26,Normal
29,58,13,13,0.5,19,10,Normal
30,84,12,12,0.5,29,1,Normal
25,58,10,10,0.4,22,3,Normal
50,123,16,16,0.9,37,13,Normal
49,84,9,9,0.8,34,15,Normal
43,69,10,10,0.8,41,2,Normal
47,89,12,12,0.8,46,1,Normal
35,144,13,13,0.6,33,2,Normal
25,61,14,14,0.4,25,0,Normal
27,46,11,11,0.5,26,1,Normal
42,63,10,10,0.7,37,5,Normal
18,48,11,11,0.3,13,5,Normal
49,112,11,11,0.9,41,8,Normal
29,98,14,14,0.5,28,1,Normal
57,376,11,11,0.9,55,2,Normal
37,194,9,9,0.6,37,0,Normal
34,93,12,12,0.6,29,5,Normal
54,125,16,16,100,50,4,Normal
46,109,14,14,0.8,39,7,Normal
17,41,12,12,0.3,13,4,Normal
23,51,12,15,0.4,20,3,Normal
39,55,12,12,0.7,34,5,Normal
26,47,14,14,0.5,21,5,Normal
23,60,15,15,0.4,18,5,Normal
35,89,14,16,0.6,23,12,Normal
25,47,12,12,0.5,25,0,Normal
47,80,14,14,0.8,46,1,Normal
21,49,12,12,0.4,17,4,Normal
35,71,14,14,0.6,31,4,Normal
26,80,8,8,0.5,25,1,Normal
21,38,13,13,0.4,19,2,Normal
30,72,16,16,0.5,26,4,Normal
34,181,10,10,0.6,30,4,Normal
40,146,11,11,0.7,31,9,Normal
58,128,11,11,1,47,11,Normal
46,82,11,11,0.8,38,8,Normal
43,99,13,13,0.7,38,5,Normal
52,106,12,12,0.9,46,6,Normal
80,194,12,12,1.4,76,4,Normal
42,65,12,12,0.8,38,4,Normal
26,38,14,14,0.5,21,5,Normal
27,56,14,14,0.5,24,3,Normal
65,133,12,12,1.1,61,4,Normal
62,131,16,16,1.1,58,4,Normal
46,163,8,8,0.8,46,0,Normal
47,139,16,16,0.8,46,1,Normal
53,141,12,12,100,49,4,Normal
37,63,15,15,0.7,34,3,Normal
27,62,8,8,0.5,25,2,Normal
43,89,9,9,0.8,41,2,Normal
39,46,12,12,0.7,34,5,Normal
50,81,14,14,0.9,44,6,Normal
50,113,12,12,0.9,45,5,Normal
31,86,9,9,0.5,29,2,Normal
53,115,14,14,0.9,51,2,Normal
43,98,11,11,0.7,39,4,Normal
59,96,11,11,1,53,6,Normal
21,33,14,14,0.4,19,2,Normal
71,166,9,9,1.2,69,2,Normal
43,84,16,16,0.7,40,3,Normal
21,39,16,16,0.4,19,2,Normal
35,68,18,18,0.6,32,3,Normal
36,49,19,19,0.6,31,5,Normal
2123,6477,16,16,35,2005,116,Normal
561,1214,14,14,9.4,533,27,Normal
52,81,12,12,0.9,49,3,Normal
47,78,8,8,0.8,40,7,Normal
54,118,19,19,0.9,43,11,Normal
2477,7572,16,16,41,2343,131,Normal
42,75,13,13,0.7,32,10,Normal
36,85,14,14,0.7,30,6,Normal
29,61,11,11,0.5,27,2,Normal
34,75,7,7,0.6,30,4,Normal
28,58,14,14,0.5,25,3,Normal
42,67,13,13,0.8,38,4,Normal
36,130,19,19,0.7,33,3,Normal
37,81,8,8,0.6,32,5,Normal
39,85,11,11,0.7,32,7,Normal
31,56,11,11,0.5,29,2,Normal
34,88,13,13,0.6,28,6,Normal
69,185,11,11,1.2,58,11,Normal
24,34,9,9,0.4,23,1,Normal
45,78,12,12,0.8,44,1,Normal
54,91,12,12,0.9,53,1,Normal
59,154,10,10,1,52,7,Normal
33,83,9,9,0.6,31,2,Normal
60,113,10,10,1,52,8,Normal
92,222,13,13,1.6,86,6,Normal
107,431,13,13,1.8,105,2,Normal
75,398,16,16,1.3,62,13,Normal
33,88,19,19,0.6,23,10,Normal
34,64,13,13,0.6,28,6,Normal
49,71,9,9,0.9,45,4,Normal
62,299,10,10,1.1,50,12,Normal
61,202,10,10,1.1,47,14,Normal
34,105,13,13,0.6,29,5,Normal
42,107,11,11,0.7,34,8,Normal
34,73,16,16,0.6,28,6,Normal
111,399,12,12,1.9,100,11,Normal
116,359,12,12,1.9,101,15,Normal
40,64,12,17,0.7,30,10,Normal
28,52,12,12,0.5,23,5,Normal
53,100,17,17,0.9,44,9,Normal
104,421,10,10,1.8,95,9,Normal
62,245,12,12,1.1,54,8,Normal
53,156,11,11,0.9,50,3,Normal
53,116,16,16,0.9,44,9,Normal
44,64,17,17,0.8,41,3,Normal
45,100,10,10,0.8,43,2,Normal
45,81,16,16,0.8,41,4,Normal
60,118,18,18,1.1,56,4,Normal
32,46,9,9,0.6,29,3,Normal
31,57,10,10,0.5,31,0,Normal
49,107,9,9,0.8,47,2,Normal
27,40,10,16,0.4,24,3,Normal
37,70,15,15,0.6,36,1,Normal
36,100,9,9,0.6,33,3,Normal
33,62,12,12,0.6,32,1,Normal
29,58,11,11,0.5,27,2,Normal
24,33,10,10,0.4,24,0,Normal
42,49,19,19,0.7,39,3,Normal
44,91,17,17,0.8,41,3,Normal
47,82,9,9,0.8,43,4,Normal
35,53,10,10,0.6,32,3,Normal
59,108,18,18,1,52,7,Normal
46,89,15,15,0.8,45,1,Normal
62,116,18,18,1.1,59,3,Normal
49,78,18,18,0.8,46,3,Normal
39,137,9,9,0.7,32,7,Normal
28,87,13,13,0.5,28,0,Normal
58,178,12,12,1,52,6,Normal
43,79,12,12,0.7,38,5,Normal
39,47,12,12,0.7,31,8,Normal
15,18,8,8,0.3,13,2,Normal
30,51,7,7,0.5,28,2,Normal
27,141,18,18,0.5,23,4,Normal
31,69,19,19,0.5,25,6,Normal
41,67,10,10,0.7,33,8,Normal
37,66,11,11,0.6,32,5,Normal
22,51,7,7,0.4,20,2,Normal
34,52,9,9,0.6,29,5,Normal
23,75,15,15,0.4,22,1,Normal
49,106,14,14,0.8,42,7,Normal
26,53,10,10,0.5,25,1,Normal
27,44,11,11,0.5,26,1,Normal
39,60,11,11,0.7,39,0,Normal
50,126,19,19,0.9,49,1,Normal
33,60,9,18,0.6,32,1,Normal
39,64,8,8,0.7,38,1,Normal
57,100,12,12,100,44,13,Normal
49,116,11,11,0.9,45,4,Normal
53,119,16,16,0.9,48,5,Normal
46,126,17,17,0.8,37,9,Normal
41,118,15,15,0.7,39,2,Normal
32,74,10,10,0.6,29,3,Normal
65,168,16,16,1.1,62,3,Normal
50,135,11,11,0.9,47,2,Normal
34,75,14,14,0.6,34,0,Normal
30,74,14,14,0.5,30,0,Normal
53,97,13,13,0.9,49,4,Normal
22,54,11,11,0.4,21,1,Normal
29,72,10,10,0.5,27,2,Normal
88,244,8,8,1.5,81,7,Normal
343,1374,14,14,5.7,319,24,Normal
48,102,10,10,0.8,45,3,Normal
52,93,14,14,0.9,46,6,Normal
39,92,12,12,0.7,39,0,Normal
64,124,14,14,1.1,61,3,Normal
58,120,17,17,1,51,7,Normal
36,86,17,17,0.7,35,1,Normal
30,74,17,17,0.5,29,1,Normal
54,147,12,12,0.9,49,5,Normal
60,192,10,10,1.1,53,7,Normal
61,155,14,14,1.1,58,3,Normal
43,139,16,16,0.7,37,6,Normal
58,219,14,14,100,56,2,Normal
40,114,12,12,0.7,39,1,Normal
60,151,11,11,1.1,53,7,Normal
47,149,9,9,0.8,38,9,Normal
36,85,12,12,0.6,30,6,Normal
45,116,8,8,0.8,43,2,Normal
41,101,10,16,0.7,39,2,Normal
57,89,13,13,1,53,4,Normal
26,46,8,8,0.5,21,5,Normal
40,113,9,9,0.7,37,3,Normal
43,114,8,8,0.7,41,2,Normal
49,182,12,12,0.8,47,2,Normal
68,174,13,13,1.2,62,6,Normal
50,161,10,10,0.9,44,4,Normal
64,142,15,15,1.1,63,1,Normal
49,102,11,11,0.9,47,2,Normal
48,88,9,9,0.8,44,4,Normal
33,114,18,18,0.6,27,6,Normal
38,102,17,17,0.7,30,8,Normal
28,34,12,12,0.5,26,2,Normal
56,83,13,13,1,55,1,Normal
50,62,9,9,0.9,49,1,Normal
45,73,10,10,0.8,41,4,Normal
75,120,14,14,1.3,73,2,Normal
43,86,10,10,0.8,36,7,Normal
50,97,9,9,0.9,46,4,Normal
58,83,16,16,1,51,7,Normal
29,75,9,9,0.5,24,5,Normal
52,84,16,16,0.9,46,6,Normal
46,115,10,10,0.8,44,2,Normal
50,84,15,15,0.9,50,0,Normal
45,72,20,20,0.8,45,0,Normal
52,118,20,20,0.9,45,7,Normal
43,117,12,12,0.7,35,8,Normal
35,50,12,12,0.6,32,3,Normal
59,124,13,13,1,58,1,Normal
56,103,12,12,1,54,2,Normal
72,182,11,11,1.2,72,0,Normal
38,75,20,20,0.7,37,1,Normal
21,37,19,19,0.3,20,1,Normal
29,55,20,20,0.5,26,3,Normal
38,59,10,10,0.7,36,2,Normal
66,135,12,12,1.2,63,3,Normal
62,177,11,11,1,60,2,Normal
23,54,7,7,0.4,14,9,Normal
21,29,15,15,0.3,16,5,Normal
17,28,20,20,0.3,15,2,Normal
33,58,20,20,0.6,26,7,Normal
43,83,9,9,0.7,39,4,Normal
73,191,20,20,1.3,66,7,Normal
77,208,23,23,1.3,67,10,Normal
32,53,8,8,0.6,26,6,Normal
47,73,15,15,0.8,44,3,Normal
43,75,15,15,0.7,31,12,Normal
26,69,10,10,0.5,21,5,Normal
23,48,8,8,0.5,23,0,Normal
38,64,10,10,0.6,36,2,Normal
39,106,10,10,0.7,37,2,Normal
54,263,18,18,100,53,1,Normal
36,164,19,19,0.6,36,0,Normal
33,58,11,11,0.6,31,2,Normal
31,44,12,12,0.6,28,3,Normal
43,90,11,11,0.7,36,7,Normal
45,173,11,11,0.8,43,2,Normal
34,49,8,8,0.6,31,3,Normal
40,59,8,8,0.7,30,10,Normal
41,69,15,15,0.7,33,8,Normal
26,34,15,15,0.4,23,3,Normal
22,41,9,9,0.4,22,0,Normal
36,183,10,10,0.6,36,0,Normal
32,56,15,15,0.6,30,2,Normal
49,66,15,15,0.8,43,6,Normal
36,306,15,15,0.6,35,1,Normal
26,41,10,10,0.5,25,1,Normal
36,51,9,9,0.6,36,0,Normal
44,84,16,16,0.8,38,6,Normal
34,56,20,20,0.6,33,1,Normal
67,124,19,19,1.1,64,3,Normal
84,182,13,13,1.4,83,1,Normal
34,101,14,14,0.6,32,2,Normal
40,83,13,13,0.7,35,5,Normal
16,35,7,7,0.3,16,0,Normal
25,51,19,19,0.4,21,4,Normal
42,80,10,10,0.7,42,0,Normal
44,82,10,10,0.8,40,4,Normal
37,62,11,11,0.7,33,4,Normal
39,87,12,12,0.7,37,2,Normal
56,138,8,8,1,55,1,Normal
37,72,8,8,0.7,36,1,Normal
37,68,12,12,0.6,36,1,Normal
90,211,12,12,1.6,86,4,Normal
59,102,11,11,1,58,1,Normal
35,92,8,8,0.6,30,5,Normal
56,95,9,9,1,52,4,Normal
65,180,14,14,1.1,62,3,Normal
83,201,13,13,1.4,75,8,Normal
57,128,9,9,1,45,11,Normal
20,76,9,9,0.3,15,4,Normal
36,104,12,12,0.6,34,2,Normal
55,237,12,12,1,47,8,Normal
53,105,9,9,0.9,49,4,Normal
23,43,9,9,0.4,22,1,Normal
29,33,9,9,0.5,22,7,Normal
30,43,9,12,0.5,28,2,Normal
36,73,9,9,0.6,33,3,Normal
34,59,14,14,0.6,33,1,Normal
22,39,7,7,0.4,22,0,Normal
65,92,9,9,1.1,61,4,Normal
50,66,12,12,0.9,48,2,Normal
44,77,12,12,0.8,38,6,Normal
34,65,15,15,0.6,28,6,Normal
32,120,17,17,0.6,29,3,Normal
45,98,9,9,0.8,43,2,Normal
29,40,12,12,0.5,29,0,Normal
38,51,9,9,0.6,35,3,Normal
27,43,18,18,0.5,24,3,Normal
56,118,15,15,1,51,5,Normal
131,446,14,14,2.2,119,12,Normal
17,31,9,9,0.3,17,0,Normal
73,257,15,15,1.3,67,6,Normal
79,315,11,11,1.4,70,9,Normal
38,98,9,9,0.7,31,7,Normal
20,24,15,15,0.4,18,2,Normal
32,34,9,9,0.6,29,3,Normal
54,111,12,12,0.9,44,10,Normal
44,67,14,14,0.7,42,2,Normal
45,175,10,10,0.8,40,5,Normal
46,112,12,12,0.8,42,4,Normal
99,362,12,12,1.7,92,7,Normal
44,106,15,15,0.8,39,5,Normal
100,335,8,8,1.7,91,9,Normal
65,108,14,14,1.2,60,5,Normal
70,116,14,14,1.2,67,3,Normal
61,152,13,13,1.1,58,3,Normal
33,66,9,9,0.6,28,5,Normal
39,110,9,9,0.7,33,6,Normal
59,107,14,14,1,58,1,Normal
36,78,14,14,0.6,36,0,Normal
39,141,11,11,0.7,35,4,Normal
48,82,14,14,0.9,45,3,Normal
21,35,14,14,0.4,18,3,Normal
47,170,14,14,0.8,45,2,Normal
32,63,12,12,0.6,28,4,Normal
44,203,12,12,0.8,40,4,Normal
57,329,12,12,1,52,5,Normal
32,204,9,9,0.6,27,5,Normal
26,43,11,11,0.4,20,6,Normal
30,56,11,11,0.5,29,1,Normal
30,73,9,9,0.5,29,1,Normal
56,102,12,12,1,56,0,Normal
41,120,10,10,0.7,35,6,Normal
45,129,12,12,0.7,39,6,Normal
33,87,12,12,0.6,32,1,Normal
33,38,10,10,0.6,31,2,Normal
27,36,11,11,0.5,23,4,Normal
47,125,13,13,0.8,46,1,Normal
59,156,14,14,1,53,6,Normal
44,169,10,10,0.7,41,3,Normal
45,164,16,16,0.7,36,9,Normal
36,66,16,16,0.7,31,5,Normal
34,64,9,9,0.6,26,8,Normal
47,139,13,13,0.8,44,3,Normal
59,161,12,12,1,55,4,Normal
61,200,11,11,1,57,4,Normal
40,100,11,11,0.7,37,3,Normal
61,208,14,14,1,57,4,Normal
51,100,14,14,0.9,45,6,Normal
497,2183,16,16,8.4,458,38,Normal
122,388,10,10,2.1,112,10,Normal
64,196,10,10,1.1,55,9,Normal
58,117,14,14,1,49,9,Normal
71,130,10,10,1.2,61,10,Normal
54,198,14,14,0.9,42,12,Normal
69,167,9,9,1.2,54,15,Normal
56,95,12,12,1,44,12,Normal
40,65,11,11,0.7,28,12,Normal
71,212,13,13,1.3,62,9,Normal
32,114,9,9,0.6,31,1,Normal
199,431,14,14,3.4,192,7,Normal
156,432,12,12,2.7,149,7,Normal
501,1517,17,17,8.4,474,26,Normal
338,1343,14,14,5.7,322,16,Normal
46,107,14,14,0.8,43,3,Normal
57,121,14,14,100,54,3,Normal
48,90,10,10,0.8,45,3,Normal
50,67,13,13,0.9,49,1,Normal
50,157,10,10,0.9,50,0,Normal
32,67,9,9,0.5,29,3,Normal
64,146,14,14,1.1,61,3,Normal
86,217,14,14,1.5,84,2,Normal
59,119,10,10,1,57,2,Normal
90,297,13,13,1.6,87,3,Normal
46,150,22,22,0.8,43,3,Normal
55,134,15,15,1,50,5,Normal
93,169,17,17,1.6,89,4,Normal
68,105,17,17,1.2,66,2,Normal
53,58,13,13,0.9,45,8,Normal
47,61,15,15,0.8,41,6,Normal
32,59,17,17,0.6,30,2,Normal
55,110,17,17,100,40,15,Normal
89,218,16,16,1.6,77,12,Normal
59,147,16,16,1,47,12,Normal
55,103,14,14,100,47,8,Normal
106,202,12,12,1.8,92,14,Normal
101,265,14,14,1.7,81,20,Normal
127,315,15,15,2.1,109,18,Normal
119,354,13,13,2,115,4,Normal
67,119,12,12,1.2,62,5,Normal
37,68,15,15,0.6,34,3,Normal
51,87,9,9,0.9,42,9,Normal
47,87,11,11,0.8,39,8,Normal
49,74,13,13,0.8,40,9,Normal
40,87,9,9,0.7,33,7,Normal
46,173,14,14,0.8,33,13,Normal
33,65,10,10,0.6,29,4,Normal
46,112,15,15,0.8,43,3,Normal
38,86,11,11,0.7,33,5,Normal
56,208,11,11,1,48,8,Normal
114,845,17,17,2,82,32,Normal
74,675,14,14,1.3,53,21,Normal
69,240,14,14,1.2,51,18,Normal
51,93,15,15,0.9,45,6,Normal
60,111,15,15,1.1,43,17,Normal
72,119,15,15,1.3,54,18,Normal
85,197,15,15,1.5,72,13,Normal
19,33,10,10,0.3,19,0,Normal
54,130,12,12,0.9,49,5,Normal
53,95,11,11,0.9,48,5,Normal
82,157,11,11,1.4,78,4,Normal
55,81,12,12,0.9,54,1,Normal
68,93,12,12,1.2,64,4,Normal
83,146,14,14,1.4,81,2,Normal
80,132,14,14,1.4,76,4,Normal
72,149,13,13,1.3,65,7,Normal
38,73,15,15,0.7,35,2,Normal
65,112,16,16,1.1,64,0,Normal
28,72,15,15,0.5,23,5,Normal
39,98,12,12,0.7,27,12,Normal
50,64,13,13,0.9,45,5,Normal
53,83,12,12,0.9,50,3,Normal
69,361,13,13,1.2,59,10,Normal
50,449,13,13,0.9,41,9,Normal
55,418,11,11,0.9,48,7,Normal
34,42,11,11,0.6,33,1,Normal
97,144,9,9,1.7,93,4,Normal
84,201,15,15,1.4,79,5,Normal
66,209,12,12,1.1,62,4,Normal
57,130,11,11,1,54,3,Normal
61,162,22,22,1.1,61,0,Normal
82,240,15,15,1.4,82,0,Normal
46,91,15,15,0.8,46,0,Normal
